Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
243,9 9 12 13,6.33,94%,6.67,2.22
244,1 2 10 11,6.34,97.70%,6.68,2.39
245,1 3 8 9,6.35,92.30%,6.93,3.28
246,1 4 4 5,6.35,96.90%,6.88,2.7
247,1 5 8 9,6.35,94.10%,6.83,2.66
248,4 8 9 9,6.35,90.50%,6.53,2.3
249,1 5 7 8,6.36,94.80%,6.76,2.45
250,2 12 12 12,6.36,98.40%,6.76,2.45
251,2 8 11 11,6.38,88.60%,6.56,2.77
252,3 6 7 8,6.39,97.80%,6.78,2.29
253,8 8 8 10,6.4,90.30%,6.75,2.91
254,1 2 8 8,6.41,96.10%,6.95,2.68
255,2 5 6 12,6.41,95.20%,6.83,2.53
256,3 7 9 9,6.41,91.20%,6.89,2.82
257,1 2 12 12,6.42,96%,6.73,2.2
258,1 3 6 6,6.42,97.20%,6.91,2.6
259,1 6 6 13,6.42,97.40%,6.81,2.45
260,1 8 8 9,6.42,96.30%,6.93,2.7
261,2 11 13 13,6.42,94.30%,6.9,2.53
262,3 6 10 11,6.42,95.70%,7.06,2.87
263,10 10 10 13,6.42,93%,6.84,2.98
264,1 3 3 7,6.43,96%,7.25,3.31
265,1 6 7 11,6.45,97.50%,7.07,2.88
266,2 6 6 12,6.45,97.70%,6.99,2.57
267,3 12 13 13,6.45,91.10%,6.64,2.3
268,6 6 11 12,6.45,89.10%,6.77,2.96
269,1 1 3 11,6.46,94.30%,6.71,1.98
270,4 5 9 9,6.46,88.30%,6.71,2.77
271,1 6 9 9,6.47,97.50%,6.9,2.5
272,2 8 10 11,6.47,94.90%,6.96,2.65
273,4 5 13 13,6.47,87.70%,6.72,2.85
274,4 4 4 4,6.48,97.90%,7.08,2.93
275,1 2 4 6,6.49,95.90%,6.89,2.53
276,2 3 11 13,6.49,92%,6.92,2.77
277,6 10 10 10,6.5,95.80%,6.76,2.3
278,1 3 5 8,6.51,95.10%,7.17,2.92
279,10 11 11 13,6.51,94.80%,6.9,2.6
280,2 4 5 12,6.52,94.50%,6.98,2.88
281,4 6 7 8,6.52,95.80%,6.96,2.48
282,12 13 13 13,6.52,94.50%,6.86,2.43
283,1 3 3 5,6.53,95%,6.8,2.48
284,1 4 4 7,6.53,96%,7.26,3.18
285,1 4 6 13,6.53,97.60%,6.97,2.37
286,1 7 8 12,6.53,95.70%,7.01,2.67
287,1 9 12 12,6.53,92.60%,6.89,2.81
288,2 2 2 11,6.54,92.20%,6.83,2.68
289,4 5 6 6,6.54,95.40%,6.86,2.37
290,3 4 5 8,6.55,96.20%,7.02,2.66
291,3 5 11 11,6.55,94.60%,7.08,2.98
292,1 4 7 13,6.56,96.60%,7.22,2.94
293,3 9 9 12,6.57,94.80%,6.96,2.59
294,1 5 8 10,6.58,96.50%,7.12,2.54
295,1 5 10 12,6.58,92.10%,6.99,3.07
296,2 3 4 6,6.58,97.80%,7,2.29
297,2 10 11 12,6.58,95.90%,6.9,2.42
298,1 7 7 11,6.59,96.90%,7.15,2.6
299,3 10 10 12,6.59,94.30%,6.94,2.33
300,5 6 6 7,6.59,97.90%,7.08,2.42
301,1 6 8 10,6.6,97.10%,7.03,2.4
302,3 7 7 12,6.6,90.10%,6.79,2.6
303,3 7 13 13,6.6,87.30%,6.74,2.77
304,4 6 11 12,6.6,92.80%,7,2.92
305,4 6 12 12,6.6,96.90%,7.07,2.45
306,1 2 5 6,6.61,94.40%,7.11,2.75
307,7 8 11 12,6.61,96.20%,7.09,2.66
308,2 8 8 13,6.62,92.90%,7.04,2.65
309,1 3 3 9,6.63,96.80%,7.17,2.84
310,1 3 13 13,6.63,97%,7.14,2.59
311,2 2 8 12,6.63,98.10%,7.09,2.32
312,1 2 10 13,6.64,97%,7.15,2.71
313,1 10 11 12,6.64,94.70%,7.04,2.52
314,3 7 11 11,6.64,88%,6.86,3.08
315,1 2 3 6,6.66,97%,7.09,2.42
316,4 4 12 13,6.66,91.90%,7.04,2.57
317,1 2 5 5,6.67,95.20%,7.19,2.91
318,2 8 9 12,6.67,95.10%,7.08,2.76
319,3 6 6 7,6.67,93.70%,7.13,2.7
320,3 8 9 10,6.67,96.30%,7.02,2.51
321,9 9 10 13,6.69,91%,6.89,2.68
322,1 4 8 13,6.71,97.50%,7.1,2.45
323,1 9 11 12,6.71,93.70%,7.13,3.01
324,1 12 12 12,6.71,93.50%,6.91,2.57
325,2 5 6 11,6.71,96.30%,7.19,2.62
326,1 3 3 3,6.72,95.60%,7.1,2.53
327,2 2 5 5,6.72,93.30%,7.1,2.48
328,3 3 3 3,6.72,95.90%,7.42,3.35
329,4 4 5 5,6.72,93.20%,7.15,2.55
330,5 6 7 7,6.73,87.70%,6.91,2.76
331,5 7 10 12,6.73,96.80%,7.19,2.46
332,1 1 2 7,6.74,95.50%,6.97,2.07
333,1 5 6 6,6.74,93.70%,7.41,3.37
334,3 4 10 13,6.74,96.50%,7.2,2.82
335,4 5 11 11,6.74,87.30%,7.22,3.62
336,6 8 10 12,6.74,97.30%,7.3,2.79
337,3 3 5 6,6.76,96.30%,7.36,2.68
338,6 7 12 13,6.76,95.50%,7.23,2.73
339,1 2 5 7,6.77,95.10%,7.1,2.66
340,2 2 2 13,6.78,93.50%,7.12,2.74
341,1 1 6 12,6.79,91.10%,7.45,3.41
342,2 2 2 4,6.79,96%,7.12,2.46
343,3 3 12 13,6.79,93.30%,7.24,2.66
344,4 8 8 8,6.8,94.60%,7.18,2.76
345,1 1 2 9,6.81,94.70%,7.11,2.33
346,2 11 11 13,6.81,94.90%,7.32,2.85
347,5 7 11 11,6.81,96.10%,7.24,2.67
348,8 9 11 12,6.81,95.20%,7.46,3.03
349,2 3 12 13,6.82,95.90%,7.3,2.66
350,3 4 5 7,6.82,96.70%,7.31,2.67
351,4 5 7 7,6.82,91.20%,7.47,3.54
352,7 7 10 13,6.82,89.70%,7.11,3.14
353,1 2 11 13,6.83,93.60%,7.45,3.1
354,11 12 12 13,6.83,97.10%,7.43,2.68
355,1 6 6 10,6.84,93.60%,7.18,3.09
356,1 6 8 11,6.84,97.80%,7.3,2.46
357,2 4 4 8,6.84,96.60%,7.26,2.67
358,2 4 13 13,6.85,95.60%,7.38,2.75
359,2 6 6 8,6.85,95.60%,7.43,2.99
360,5 6 13 13,6.85,87%,6.95,2.71
361,4 4 4 8,6.86,96.30%,7.45,2.87
362,4 7 7 7,6.86,88.90%,7.06,3.03
363,9 11 11 11,6.86,95.40%,7.23,2.75
364,7 8 12 13,6.87,96.50%,7.35,2.61
365,1 1 3 5,6.88,95.30%,7.2,2.31
366,1 3 6 7,6.89,96.10%,7.3,2.77
367,7 9 13 13,6.89,96.30%,7.43,2.77
368,1 1 4 9,6.9,93.40%,7.08,2.31
369,1 3 4 4,6.9,93.30%,7.21,3.07
370,1 9 10 12,6.9,93.80%,7.25,2.77
371,1 3 10 11,6.91,96.30%,7.58,3.11
372,4 7 10 11,6.91,97.10%,7.45,2.73
373,6 9 12 12,6.91,89.30%,7.47,3.68
374,8 9 10 13,6.91,96%,7.41,2.67
375,1 2 2 11,6.92,97.10%,7.47,2.94
376,3 3 3 10,6.92,94.20%,7.5,3.25
377,4 7 13 13,6.92,87.60%,7.12,2.97
378,9 10 11 12,6.92,96.10%,7.44,2.78
379,1 11 12 12,6.93,94.20%,7.47,3.13
380,5 5 10 10,6.93,86.90%,7.26,3.14
381,6 8 11 11,6.93,94.10%,7.48,3.07
382,2 5 5 13,6.94,92%,7.35,2.79
383,2 8 12 12,6.94,95.10%,7.31,2.62
384,3 3 3 7,6.94,92.20%,7.38,3.15
385,4 7 8 8,6.94,94.20%,7.36,2.55
386,8 9 12 13,6.94,96.10%,7.43,2.7
387,3 8 8 9,6.96,95.60%,7.3,2.53
388,4 5 10 10,6.96,91.10%,7.31,3.08
389,2 5 12 12,6.97,83.50%,7.36,4.06
390,4 6 9 10,6.97,93.80%,7.51,3.27
391,2 2 12 13,6.98,92.30%,7.26,2.62
392,2 5 5 8,6.98,88%,7.14,3.11
393,2 6 10 12,6.98,95.20%,7.45,2.82
394,2 9 9 11,6.98,87.40%,6.99,2.69
395,8 8 10 13,6.98,90.50%,7.42,3.12
396,11 11 12 13,6.98,95%,7.41,2.49
397,2 4 5 8,6.99,95.20%,7.39,2.79
398,2 6 7 13,6.99,96.70%,7.4,2.66
399,5 5 10 13,6.99,89.80%,7.35,3.24
400,1 2 11 12,7,96.90%,7.69,3.21
401,4 4 4 12,7,96.50%,7.47,2.94
402,1 2 6 7,7.01,95.20%,7.38,2.56
403,5 6 9 9,7.01,90.60%,7.27,2.73
404,1 8 8 11,7.02,93.50%,7.5,3.48
405,6 8 8 8,7.02,88.10%,7.42,3.5
406,1 3 5 13,7.03,94.30%,7.45,2.72
407,1 6 8 8,7.03,93%,7.34,2.94
408,5 6 11 11,7.03,87.20%,7.26,3.18
409,6 7 10 13,7.03,96.40%,7.55,2.79
410,2 9 9 13,7.04,88.80%,7.12,2.54
411,3 6 6 12,7.04,95.40%,7.71,2.94
412,3 6 9 9,7.04,94%,7.61,3.26
413,1 1 8 8,7.05,89.60%,7.48,3.69
414,1 3 7 13,7.05,96.90%,7.42,2.62
415,2 3 5 5,7.05,96.30%,7.56,2.9
416,1 7 7 9,7.06,96.20%,7.44,2.84
417,1 7 8 11,7.06,92.60%,7.44,3.09
418,1 8 8 10,7.06,92.20%,7.4,3
419,2 6 7 12,7.06,92.10%,7.22,2.93
420,3 7 12 13,7.06,93.80%,7.56,3.04
421,2 3 3 13,7.07,94%,7.62,2.94
422,8 8 9 11,7.07,89.70%,7.62,3.68
423,8 8 12 13,7.07,92.10%,7.36,2.63
424,8 10 11 11,7.07,94.80%,7.48,2.77
425,5 5 13 13,7.08,85.50%,7.29,3.13
426,1 3 10 12,7.09,96.40%,7.56,2.75
427,2 2 10 13,7.09,90%,7.32,3.09
428,3 3 4 4,7.09,94.40%,7.46,2.69
429,3 5 5 6,7.09,89.20%,7.33,3.13
430,5 5 6 6,7.09,93.10%,7.56,2.85
431,2 5 9 12,7.1,95.40%,7.56,2.87
432,9 12 12 12,7.1,82.20%,7.12,3.72
433,1 2 3 5,7.11,95.50%,7.41,2.38
434,5 5 11 11,7.11,85.90%,7.33,3.27
435,1 2 2 13,7.12,96.50%,7.68,3.11
436,10 10 12 13,7.12,92.30%,7.45,2.6
437,1 3 9 11,7.14,95%,7.63,3.11
438,1 5 6 9,7.14,92%,7.61,3.47
439,3 4 11 12,7.14,95.10%,7.77,3.37
440,4 6 6 8,7.14,97.30%,7.62,2.62
441,1 2 7 10,7.15,90.90%,7.88,4.08
442,4 8 11 12,7.15,92.90%,7.7,3.18
443,1 3 4 11,7.16,96%,7.68,2.9
444,1 7 10 12,7.16,92.80%,7.59,3.07
445,1 10 12 13,7.17,94.30%,7.53,2.87
446,2 6 10 10,7.17,95.80%,7.66,3.01
447,2 7 7 13,7.17,86.20%,7.28,3.01
448,1 2 4 10,7.18,96.20%,7.67,3.16
449,1 5 9 9,7.19,94.40%,7.71,3.15
450,3 8 8 12,7.19,91.50%,7.68,3.14
451,6 6 6 11,7.19,88.80%,7.44,3.43
452,2 8 8 8,7.2,93.90%,7.75,3.34
453,2 9 10 12,7.2,93.90%,7.53,2.84
454,4 5 11 13,7.2,90.40%,7.6,3.25
455,4 7 12 13,7.2,92.30%,7.76,3.39
456,6 6 12 13,7.2,90.30%,7.62,3.1
457,2 2 7 13,7.21,96.20%,7.63,2.92
458,5 9 10 10,7.21,92.70%,7.61,3.07
459,3 4 5 12,7.24,97.10%,7.64,2.68
460,1 3 4 5,7.25,97.50%,7.75,2.52
461,1 12 12 13,7.25,94.20%,7.8,3.18
462,3 6 11 12,7.25,93.50%,7.73,3.15
463,3 7 7 9,7.25,86.50%,7.29,2.98
464,4 8 10 12,7.25,95.70%,7.76,2.88
465,7 8 8 9,7.25,86.70%,7.68,3.86
466,1 3 7 8,7.26,89.20%,7.47,3.5
467,5 6 11 13,7.26,91.70%,7.8,3.35
468,3 5 5 12,7.27,89.10%,7.61,3.31
469,3 7 11 12,7.27,90.70%,7.79,3.57
470,3 9 10 11,7.27,93.10%,7.65,2.96
471,5 10 11 11,7.28,90.40%,7.53,2.8
472,1 6 6 9,7.29,90.50%,7.76,3.33
473,10 12 12 13,7.29,90.10%,7.72,3.5
474,1 1 6 8,7.3,94.80%,7.64,2.54
475,1 6 8 13,7.3,94.30%,7.74,2.86
476,5 5 7 8,7.3,92.50%,7.75,2.96
477,2 6 7 9,7.31,96%,7.81,3.03
478,3 5 13 13,7.31,94.20%,7.75,3.08
479,4 7 11 11,7.31,86.30%,7.44,3.39
480,5 5 9 9,7.31,85.40%,7.61,3.41
481,7 9 10 12,7.31,94.10%,7.85,3.2
482,1 7 9 13,7.32,93.70%,7.56,2.57
483,2 2 3 9,7.32,94.60%,7.77,2.89
484,2 4 10 12,7.32,96.60%,8,3.16
485,3 4 8 10,7.33,93.40%,7.71,3.22
486,1 8 9 11,7.34,92.80%,7.67,3.1
487,2 3 3 11,7.34,89.30%,7.59,3.24
488,3 6 6 6,7.34,94.40%,7.78,3.18
489,1 8 11 12,7.35,91.50%,7.86,3.49
490,2 7 8 13,7.35,94%,7.86,3.11
491,3 3 9 9,7.35,96%,7.74,2.78
492,4 5 5 8,7.35,87.80%,7.48,2.94
493,7 10 10 11,7.35,93.50%,7.69,2.96
494,2 3 7 12,7.37,94.80%,7.84,3.06
495,3 6 8 8,7.37,92.80%,7.73,2.97
496,4 4 5 8,7.37,96%,7.73,2.55
497,5 6 8 8,7.37,92.10%,7.73,2.93
498,10 11 11 12,7.38,96.80%,7.85,2.8
499,2 5 6 8,7.39,95.50%,7.95,3.04
500,3 3 4 5,7.39,93.90%,7.83,3.22
501,3 5 6 8,7.39,93.50%,7.86,3.2
502,5 8 8 10,7.39,91.40%,7.87,3.42
503,1 11 12 13,7.4,94%,7.84,3.22
504,3 9 11 11,7.41,85.70%,7.55,3.29
505,6 8 13 13,7.41,93.20%,7.85,3.08
506,2 10 10 11,7.42,85.10%,7.29,2.94
507,2 2 4 7,7.43,95.20%,8.07,3.14
508,3 5 10 12,7.45,94.80%,8.04,3.17
509,5 5 10 11,7.45,87.70%,7.82,3.53
510,1 2 3 7,7.46,96.20%,8.14,3.17
511,3 9 13 13,7.46,86.30%,7.65,3.33
512,2 6 9 11,7.47,95.80%,7.96,3.14
513,3 3 10 13,7.47,89.30%,7.75,3.51
514,1 4 4 4,7.48,95.80%,7.93,2.87
515,1 7 9 9,7.48,94.60%,7.91,3.16
516,2 4 8 10,7.48,97.70%,7.96,2.62
517,5 7 13 13,7.48,94.30%,7.9,3.21
518,7 10 12 12,7.48,84.60%,7.65,3.77
519,4 4 4 7,7.49,91.20%,7.87,3.4
520,6 6 6 9,7.49,89.70%,8.04,3.91
